               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10424,            0.065624,            0.055047,             0.22376,            0.051501,            0.015771,           0.0048343,            0.079664,            0.048073,            0.039337,            0.070469,           0.0032813,           0.0032813
                   1,            0.077257,            0.069518,            0.037922,             0.46349,             0.16678,            0.082879,            0.027727,            0.070674,            0.037878,            0.028528,            0.040447,           0.0065928,           0.0065928
                   2,            0.071572,            0.059568,            0.031065,              0.5037,             0.20569,             0.11921,            0.040897,             0.06638,            0.038571,            0.024711,            0.010403,           0.0098823,           0.0098823
                   3,            0.065468,            0.060261,            0.026062,              0.5046,             0.27216,              0.1905,            0.078787,            0.056521,            0.037243,            0.016863,            0.009901,            0.009901,            0.009901
                   4,            0.058653,            0.058771,            0.022592,             0.59955,              0.2705,             0.19811,             0.08312,            0.054584,             0.03853,            0.015774,            0.009901,            0.009901,            0.009901
                   5,            0.054584,            0.058165,            0.020841,             0.62023,             0.28657,             0.26591,             0.12429,            0.049138,            0.038478,            0.014738,            0.009868,            0.009868,            0.009868
                   6,            0.052895,             0.05883,            0.019025,             0.59504,             0.27076,             0.25625,             0.11086,            0.049389,            0.037472,            0.016104,            0.009835,            0.009835,            0.009835
                   7,            0.050451,             0.05536,            0.017635,             0.59538,             0.31786,             0.29363,              0.1403,            0.044319,            0.037242,            0.013141,            0.009802,            0.009802,            0.009802
                   8,            0.049186,            0.055894,            0.017214,               0.638,             0.30446,             0.31404,             0.14621,            0.045848,            0.036948,            0.011895,            0.009769,            0.009769,            0.009769
                   9,            0.048664,            0.056528,            0.016995,             0.66597,             0.28612,             0.30047,              0.1387,            0.044904,            0.037456,            0.011463,            0.009736,            0.009736,            0.009736
                  10,            0.048682,             0.05539,            0.015501,             0.73079,             0.30258,             0.32242,             0.16835,            0.043031,            0.037269,            0.013394,            0.009703,            0.009703,            0.009703
                  11,            0.046994,            0.055536,            0.015214,             0.62747,             0.33765,             0.32504,             0.14556,            0.045541,            0.038049,            0.012724,             0.00967,             0.00967,             0.00967
                  12,            0.046787,            0.053151,            0.014246,             0.66263,             0.34126,             0.33129,             0.15689,            0.045206,            0.036735,            0.012647,            0.009637,            0.009637,            0.009637
                  13,            0.046184,            0.053833,            0.014085,             0.67087,             0.28476,             0.31207,             0.16088,            0.043263,            0.039739,            0.012395,            0.009604,            0.009604,            0.009604
                  14,            0.046046,            0.054112,            0.013195,             0.54513,             0.30363,             0.31213,             0.16267,            0.043824,            0.038201,            0.013531,            0.009571,            0.009571,            0.009571
                  15,            0.044694,            0.053078,            0.012996,             0.55703,             0.34462,             0.32859,             0.17546,            0.042492,            0.036811,            0.011801,            0.009538,            0.009538,            0.009538
                  16,            0.044407,            0.052375,            0.012741,             0.56624,             0.31971,             0.32874,             0.16792,            0.043522,            0.037201,            0.011406,            0.009505,            0.009505,            0.009505
                  17,            0.044501,            0.051775,            0.012238,             0.60033,             0.30094,             0.32332,             0.17123,            0.042563,            0.038353,            0.013081,            0.009472,            0.009472,            0.009472
                  18,            0.043469,            0.052169,            0.011598,             0.44728,             0.33247,             0.32222,             0.17189,            0.043144,            0.037292,            0.011944,            0.009439,            0.009439,            0.009439
                  19,            0.042679,            0.052833,            0.011334,              0.4967,             0.33089,             0.34478,             0.17904,            0.043562,            0.038059,            0.011457,            0.009406,            0.009406,            0.009406
                  20,            0.043318,            0.052534,             0.01165,             0.49759,             0.32864,             0.33828,             0.17377,            0.044675,            0.038727,            0.012102,            0.009373,            0.009373,            0.009373
                  21,            0.043663,            0.051232,            0.011624,             0.48655,             0.31507,             0.33825,             0.18317,            0.041771,            0.037325,            0.011209,             0.00934,             0.00934,             0.00934
                  22,            0.041893,            0.048465,            0.010929,             0.59818,             0.31666,             0.33955,             0.17842,            0.043692,             0.03861,            0.011854,            0.009307,            0.009307,            0.009307
                  23,            0.041459,             0.04945,            0.011157,             0.57513,             0.30043,             0.31655,             0.15966,            0.043367,            0.040813,            0.017491,            0.009274,            0.009274,            0.009274
